##########################
C: 0.3 | tow: 0.1
None ) MCTS conf: 0.28 , det: 0.97 | LTL [+++]  LDBA [ 0.01 ] path: [1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.2 , det: 0.95 | LTL [---]  LDBA [ 0.0 ] path: [24, 19, 14, 9, 4, 3, 2, 2, 3, 4, 4, 9, 14, 19, 24, 23, 22, 17]
None ) MCTS conf: 0.46 , det: 0.83 | LTL [+++]  LDBA [ 0.01 ] path: [5, 0, 1, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.27 , det: 1.0 | LTL [---]  LDBA [ 0.0 ] path: [12, 7]
None ) MCTS conf: 0.17 , det: 0.96 | LTL [+++]  LDBA [ 0.01 ] path: [24, 19, 14, 9, 4, 3, 2, 2, 3, 4, 3, 4, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 10, 15, 15]
None ) MCTS conf: 0.34 , det: 0.98 | LTL [---]  LDBA [ 0.0 ] path: [19, 18]
None ) MCTS conf: 0.19 , det: 0.96 | LTL [---]  LDBA [ 0.0 ] path: [13, 14, 9, 9, 4, 9, 4, 3, 2, 1, 1, 2, 3, 4, 9, 9, 14, 19, 24, 23, 22, 23, 24, 19, 14, 13, 12, 11, 16]
None ) MCTS conf: 0.16 , det: 0.97 | LTL [---]  LDBA [ 0.0 ] path: [24, 19, 19, 24, 19, 14, 9, 4, 9, 4, 9, 4, 3, 2, 2, 3, 3, 3, 4, 9, 9, 14, 19, 24, 23, 22, 23, 23, 24, 24]
None ) MCTS conf: 0.29 , det: 0.8 | LTL [---]  LDBA [ 0.0 ] path: [10, 5, 0, 1, 2, 2, 2, 3, 4, 9, 14, 19, 24, 23, 22, 22, 23, 18]
None ) MCTS conf: 0.39 , det: 0.99 | LTL [---]  LDBA [ 0.0 ] path: [4, 9, 4, 3, 2, 2, 7]
